NoRegis,NamaPengemudi,JenisTruk,Perusahaan,BeratTrukAsli,Kelayakan
TRUK-1001,Fajar Pratama,Fuso,PT Maju Mundur,13088,Lolos
TRUK-1002,Slamet Nugraha,Pick Up,CV Trans Cepat,23385,Lolos
TRUK-1003,Agus Wijaya,Tronton,PT Maju Mundur,12145,Lolos
TRUK-1004,Joko Saputra,Wingbox,CV Angkut Terus,23131,Lolos
TRUK-1005,Joko Pratama,Pick Up,CV Trans Cepat,20114,Lolos
TRUK-1006,Eko Pratama,Wingbox,CV Angkut Terus,27031,Tidak Lolos
TRUK-1007,Fajar Hidayat,Pick Up,CV Angkut Terus,18109,Lolos
TRUK-1008,Slamet Saputra,Wingbox,CV Trans Cepat,27054,Tidak Lolos
TRUK-1009,Agus Nugraha,Tronton,PT Maju Mundur,18220,Lolos
TRUK-1010,Eko Santoso,Wingbox,CV Trans Cepat,28751,Tidak Lolos
TRUK-1011,Eko Setiawan,Pick Up,CV Angkut Terus,20205,Lolos
TRUK-1012,Hendra Pratama,Pick Up,PT Logistik Jaya,25437,Tidak Lolos
TRUK-1013,Hendra Wijaya,Wingbox,PT Logistik Jaya,11492,Lolos
TRUK-1014,Eko Pratama,Pick Up,CV Trans Cepat,19105,Lolos
TRUK-1015,Hendra Ramadhan,Wingbox,CV Trans Cepat,28676,Tidak Lolos
TRUK-1016,Eko Pratama,Tronton,CV Angkut Terus,16554,Lolos
TRUK-1017,Eko Setiawan,Fuso,PT Logistik Jaya,21360,Lolos
TRUK-1018,Budi Saputra,Pick Up,CV Trans Cepat,17734,Lolos
TRUK-1019,Eko Saputra,Pick Up,CV Angkut Terus,23381,Lolos
TRUK-1020,Eko Ramadhan,Pick Up,CV Angkut Terus,11602,Lolos
